IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
19,0,19,59.8,6923.0,0.0,81.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,19,2015-01-03
43,1,19,61.26,6505.0,0.0,479.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,19,2015-01-04
67,2,19,69.0,7919.0,0.0,324.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,19,2015-01-05
91,3,19,62.99,8073.0,0.0,224.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,19,2015-01-06
115,4,19,75.0,8073.0,0.0,236.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,19,2015-01-07
139,5,19,74.69,8176.0,0.0,292.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,19,2015-01-08
163,6,19,71.0,8242.0,0.0,661.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,19,2015-01-09
187,7,19,65.69,7194.0,0.0,121.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,19,2015-01-10
211,8,19,66.2,6865.0,0.0,704.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,19,2015-01-11
235,9,19,69.7,8202.0,0.0,738.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,19,2015-01-12
259,10,19,70.2,8299.0,0.0,1000.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,19,2015-01-13
283,11,19,70.52,8201.0,0.0,1195.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,19,2015-01-14
307,12,19,63.43,8100.0,0.0,2725.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,19,2015-01-15
331,13,19,66.94,7921.0,0.0,1851.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,19,2015-01-16
355,14,19,59.82,7313.0,0.0,121.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,19,2015-01-17
379,15,19,60.8,6890.0,0.0,1917.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,19,2015-01-18
403,16,19,70.01,8164.0,0.0,1653.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,19,2015-01-19
427,17,19,70.91,8039.0,0.0,2400.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,19,2015-01-20
451,18,19,58.34,8195.0,0.0,3617.0,0.974928,-0.222521,0.5,0.866025,0.353676,0.935368,19,2015-01-21
475,19,19,65.0,8174.0,0.0,1785.0,0.433884,-0.900969,0.5,0.866025,0.369725,0.929141,19,2015-01-22
499,20,19,65.0,7954.0,0.0,674.0,-0.433884,-0.900969,0.5,0.866025,0.385663,0.92264,19,2015-01-23
523,21,19,57.9,7458.0,0.0,934.0,-0.974928,-0.222521,0.5,0.866025,0.401488,0.915864,19,2015-01-24
547,22,19,62.7,6779.0,0.0,884.0,-0.781831,0.62349,0.5,0.866025,0.417194,0.908818,19,2015-01-25
571,23,19,71.15,7850.0,0.0,836.0,0.0,1.0,0.5,0.866025,0.432776,0.901502,19,2015-01-26
595,24,19,66.0,7937.0,0.0,591.0,0.781831,0.62349,0.5,0.866025,0.448229,0.893919,19,2015-01-27
619,25,19,69.1,7994.0,0.0,1625.0,0.974928,-0.222521,0.5,0.866025,0.46355,0.886071,19,2015-01-28
643,26,19,52.0,7908.0,0.0,3594.0,0.433884,-0.900969,0.5,0.866025,0.478734,0.87796,19,2015-01-29
667,27,19,52.01,7836.0,0.0,3941.0,-0.433884,-0.900969,0.5,0.866025,0.493776,0.869589,19,2015-01-30
691,28,19,35.62,6791.0,0.0,3587.0,-0.974928,-0.222521,0.5,0.866025,0.508671,0.860961,19,2015-01-31
715,29,19,50.0,6376.0,0.0,1983.0,-0.781831,0.62349,0.866025,0.5,0.523416,0.852078,19,2015-02-01
739,30,19,64.89,7958.0,0.0,3888.0,0.0,1.0,0.866025,0.5,0.538005,0.842942,19,2015-02-02
763,31,19,66.12,7887.0,0.0,3823.0,0.781831,0.62349,0.866025,0.5,0.552435,0.833556,19,2015-02-03
787,32,19,54.1,7902.0,0.0,2738.0,0.974928,-0.222521,0.866025,0.5,0.566702,0.823923,19,2015-02-04
811,33,19,61.01,7902.0,0.0,1915.0,0.433884,-0.900969,0.866025,0.5,0.5808,0.814046,19,2015-02-05
835,34,19,57.99,7866.0,0.0,1311.0,-0.433884,-0.900969,0.866025,0.5,0.594727,0.803928,19,2015-02-06
859,35,19,70.03,6874.0,0.0,1251.0,-0.974928,-0.222521,0.866025,0.5,0.608477,0.793572,19,2015-02-07
883,36,19,45.56,6894.0,0.0,2210.0,-0.781831,0.62349,0.866025,0.5,0.622047,0.78298,19,2015-02-08
907,37,19,82.01,8026.0,0.0,2020.0,0.0,1.0,0.866025,0.5,0.635432,0.772157,19,2015-02-09
931,38,19,71.0,8144.0,0.0,1003.0,0.781831,0.62349,0.866025,0.5,0.64863,0.761104,19,2015-02-10
955,39,19,74.71,7831.0,0.0,218.0,0.974928,-0.222521,0.866025,0.5,0.661635,0.749826,19,2015-02-11
979,40,19,74.71,7753.0,0.0,738.0,0.433884,-0.900969,0.866025,0.5,0.674444,0.738326,19,2015-02-12
1003,41,19,59.99,7662.0,0.0,2305.0,-0.433884,-0.900969,0.866025,0.5,0.687053,0.726608,19,2015-02-13
1027,42,19,44.98,6860.0,0.0,3314.0,-0.974928,-0.222521,0.866025,0.5,0.699458,0.714673,19,2015-02-14
1051,43,19,50.24,6527.0,0.0,1535.0,-0.781831,0.62349,0.866025,0.5,0.711657,0.702527,19,2015-02-15
1075,44,19,67.7,6943.0,0.0,2428.0,0.0,1.0,0.866025,0.5,0.723644,0.690173,19,2015-02-16
1099,45,19,55.1,6353.0,0.0,3086.0,0.781831,0.62349,0.866025,0.5,0.735417,0.677615,19,2015-02-17
1123,46,19,61.55,6720.0,0.0,1500.0,0.974928,-0.222521,0.866025,0.5,0.746972,0.664855,19,2015-02-18
1147,47,19,71.4,6951.0,0.0,205.0,0.433884,-0.900969,0.866025,0.5,0.758306,0.651899,19,2015-02-19
1171,48,19,58.1,7031.0,0.0,1221.0,-0.433884,-0.900969,0.866025,0.5,0.769415,0.638749,19,2015-02-20
1195,49,19,36.1,6643.0,0.0,2902.0,-0.974928,-0.222521,0.866025,0.5,0.780296,0.625411,19,2015-02-21
1219,50,19,39.96,6427.0,0.0,1583.0,-0.781831,0.62349,0.866025,0.5,0.790946,0.611886,19,2015-02-22
1243,51,19,44.0,7142.0,0.0,3673.0,0.0,1.0,0.866025,0.5,0.801361,0.598181,19,2015-02-23
1267,52,19,46.1,7267.0,0.0,2529.0,0.781831,0.62349,0.866025,0.5,0.811539,0.584298,19,2015-02-24
1291,53,19,48.8,7283.0,0.0,2237.0,0.974928,-0.222521,0.866025,0.5,0.821477,0.570242,19,2015-02-25
1315,54,19,56.0,7318.0,0.0,2169.0,0.433884,-0.900969,0.866025,0.5,0.831171,0.556017,19,2015-02-26
1339,55,19,48.03,7318.0,2.0,1707.0,-0.433884,-0.900969,0.866025,0.5,0.840618,0.541628,19,2015-02-27
1363,56,19,45.0,6643.0,0.0,1267.0,-0.974928,-0.222521,0.866025,0.5,0.849817,0.527078,19,2015-02-28
1387,57,19,39.71,5797.0,0.0,1366.0,-0.781831,0.62349,1.0,0.0,0.858764,0.512371,19,2015-03-01
1411,58,19,70.16,7025.0,0.0,587.0,0.0,1.0,1.0,0.0,0.867456,0.497513,19,2015-03-02
