IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
6,0,6,46.02,4260.0,0.0,191.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,6,2015-01-03
30,1,6,36.0,4247.0,0.0,217.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,6,2015-01-04
54,2,6,57.5,4495.0,0.0,281.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,6,2015-01-05
78,3,6,43.32,4666.0,0.0,208.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,6,2015-01-06
102,4,6,60.1,4743.0,0.0,357.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,6,2015-01-07
126,5,6,60.89,4956.0,0.0,170.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,6,2015-01-08
150,6,6,59.82,4957.0,0.0,1125.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,6,2015-01-09
174,7,6,47.43,4546.0,0.0,614.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,6,2015-01-10
198,8,6,37.0,4252.0,0.0,764.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,6,2015-01-11
222,9,6,49.21,4735.0,0.0,968.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,6,2015-01-12
246,10,6,44.93,4952.0,0.0,1653.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,6,2015-01-13
270,11,6,60.69,5076.0,0.0,415.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,6,2015-01-14
294,12,6,38.0,4914.0,0.0,2929.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,6,2015-01-15
318,13,6,40.69,4923.0,0.0,2057.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,6,2015-01-16
342,14,6,36.0,4790.0,0.0,614.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,6,2015-01-17
366,15,6,28.79,4486.0,0.0,2396.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,6,2015-01-18
390,16,6,39.2,4848.0,0.0,3470.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,6,2015-01-19
414,17,6,47.43,4881.0,0.0,944.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,6,2015-01-20
438,18,6,46.04,4881.0,0.0,2127.0,0.974928,-0.222521,0.5,0.866025,0.353676,0.935368,6,2015-01-21
462,19,6,39.2,5072.0,0.0,3047.0,0.433884,-0.900969,0.5,0.866025,0.369725,0.929141,6,2015-01-22
486,20,6,43.6,5024.0,0.0,925.0,-0.433884,-0.900969,0.5,0.866025,0.385663,0.92264,6,2015-01-23
510,21,6,39.1,4872.0,0.0,785.0,-0.974928,-0.222521,0.5,0.866025,0.401488,0.915864,6,2015-01-24
534,22,6,30.0,4476.0,0.0,1157.0,-0.781831,0.62349,0.5,0.866025,0.417194,0.908818,6,2015-01-25
558,23,6,45.1,4726.0,0.0,914.0,0.0,1.0,0.5,0.866025,0.432776,0.901502,6,2015-01-26
582,24,6,46.25,5020.0,0.0,1170.0,0.781831,0.62349,0.5,0.866025,0.448229,0.893919,6,2015-01-27
606,25,6,44.93,5038.0,0.0,1149.0,0.974928,-0.222521,0.5,0.866025,0.46355,0.886071,6,2015-01-28
630,26,6,44.52,5009.0,0.0,2225.0,0.433884,-0.900969,0.5,0.866025,0.478734,0.87796,6,2015-01-29
654,27,6,25.0,4988.0,0.0,3976.0,-0.433884,-0.900969,0.5,0.866025,0.493776,0.869589,6,2015-01-30
678,28,6,10.0,4742.0,0.0,3844.0,-0.974928,-0.222521,0.5,0.866025,0.508671,0.860961,6,2015-01-31
702,29,6,5.0,4330.0,0.0,2550.0,-0.781831,0.62349,0.866025,0.5,0.523416,0.852078,6,2015-02-01
726,30,6,39.2,4762.0,0.0,2791.0,0.0,1.0,0.866025,0.5,0.538005,0.842942,6,2015-02-02
750,31,6,26.2,5025.0,0.0,3188.0,0.781831,0.62349,0.866025,0.5,0.552435,0.833556,6,2015-02-03
774,32,6,30.0,5034.0,0.0,2618.0,0.974928,-0.222521,0.866025,0.5,0.566702,0.823923,6,2015-02-04
798,33,6,30.0,5029.0,0.0,2238.0,0.433884,-0.900969,0.866025,0.5,0.5808,0.814046,6,2015-02-05
822,34,6,37.03,4951.0,0.0,1618.0,-0.433884,-0.900969,0.866025,0.5,0.594727,0.803928,6,2015-02-06
846,35,6,45.21,4741.0,0.0,1314.0,-0.974928,-0.222521,0.866025,0.5,0.608477,0.793572,6,2015-02-07
870,36,6,42.1,4636.0,0.0,2019.0,-0.781831,0.62349,0.866025,0.5,0.622047,0.78298,6,2015-02-08
894,37,6,34.84,4791.0,0.0,3305.0,0.0,1.0,0.866025,0.5,0.635432,0.772157,6,2015-02-09
918,38,6,49.92,5035.0,0.0,2179.0,0.781831,0.62349,0.866025,0.5,0.64863,0.761104,6,2015-02-10
942,39,6,49.78,5030.0,0.0,644.0,0.974928,-0.222521,0.866025,0.5,0.661635,0.749826,6,2015-02-11
966,40,6,53.35,4862.0,0.0,245.0,0.433884,-0.900969,0.866025,0.5,0.674444,0.738326,6,2015-02-12
990,41,6,45.42,5084.0,0.0,892.0,-0.433884,-0.900969,0.866025,0.5,0.687053,0.726608,6,2015-02-13
1014,42,6,33.93,4743.0,0.0,1807.0,-0.974928,-0.222521,0.866025,0.5,0.699458,0.714673,6,2015-02-14
1038,43,6,12.4,4373.0,0.0,3286.0,-0.781831,0.62349,0.866025,0.5,0.711657,0.702527,6,2015-02-15
1062,44,6,39.33,4456.0,0.0,1879.0,0.0,1.0,0.866025,0.5,0.723644,0.690173,6,2015-02-16
1086,45,6,28.11,4554.0,0.0,3026.0,0.781831,0.62349,0.866025,0.5,0.735417,0.677615,6,2015-02-17
1110,46,6,28.68,4669.0,0.0,3058.0,0.974928,-0.222521,0.866025,0.5,0.746972,0.664855,6,2015-02-18
1134,47,6,47.15,4667.0,0.0,1555.0,0.433884,-0.900969,0.866025,0.5,0.758306,0.651899,6,2015-02-19
1158,48,6,49.29,4703.0,0.0,399.0,-0.433884,-0.900969,0.866025,0.5,0.769415,0.638749,6,2015-02-20
1182,49,6,38.4,4621.0,0.0,1832.0,-0.974928,-0.222521,0.866025,0.5,0.780296,0.625411,6,2015-02-21
1206,50,6,6.5,4305.0,0.0,1986.0,-0.781831,0.62349,0.866025,0.5,0.790946,0.611886,6,2015-02-22
1230,51,6,24.6,4635.0,0.0,2632.0,0.0,1.0,0.866025,0.5,0.801361,0.598181,6,2015-02-23
1254,52,6,19.09,4785.0,0.0,2951.0,0.781831,0.62349,0.866025,0.5,0.811539,0.584298,6,2015-02-24
1278,53,6,26.11,4838.0,0.0,1947.0,0.974928,-0.222521,0.866025,0.5,0.821477,0.570242,6,2015-02-25
1302,54,6,32.02,4813.0,0.0,1823.0,0.433884,-0.900969,0.866025,0.5,0.831171,0.556017,6,2015-02-26
1326,55,6,28.49,4813.0,0.0,1951.0,-0.433884,-0.900969,0.866025,0.5,0.840618,0.541628,6,2015-02-27
1350,56,6,28.22,4621.0,0.0,1814.0,-0.974928,-0.222521,0.866025,0.5,0.849817,0.527078,6,2015-02-28
1374,57,6,20.14,4350.0,0.0,1488.0,-0.781831,0.62349,1.0,0.0,0.858764,0.512371,6,2015-03-01
1398,58,6,30.23,4620.0,0.0,1195.0,0.0,1.0,1.0,0.0,0.867456,0.497513,6,2015-03-02
1422,59,6,51.1,4744.0,0.0,503.0,0.781831,0.62349,1.0,0.0,0.875892,0.482508,6,2015-03-03
1446,60,6,28.83,4615.0,0.0,2031.0,0.974928,-0.222521,1.0,0.0,0.884068,0.467359,6,2015-03-04
1470,61,6,12.22,4716.0,0.0,3766.0,0.433884,-0.900969,1.0,0.0,0.891981,0.452072,6,2015-03-05
1494,62,6,43.4,4590.0,0.0,2367.0,-0.433884,-0.900969,1.0,0.0,0.899631,0.436651,6,2015-03-06
1518,63,6,37.32,4387.0,0.0,872.0,-0.974928,-0.222521,1.0,0.0,0.907014,0.421101,6,2015-03-07
1542,64,6,33.6,3895.0,0.0,263.0,-0.781831,0.62349,1.0,0.0,0.914128,0.405426,6,2015-03-08
1566,65,6,43.87,4456.0,0.0,842.0,0.0,1.0,1.0,0.0,0.920971,0.38963,6,2015-03-09
1590,66,6,47.96,4487.0,0.0,108.0,0.781831,0.62349,1.0,0.0,0.927542,0.37372,6,2015-03-10
1614,67,6,45.96,4575.0,0.0,174.0,0.974928,-0.222521,1.0,0.0,0.933837,0.357698,6,2015-03-11
1638,68,6,47.86,4658.0,0.0,353.0,0.433884,-0.900969,1.0,0.0,0.939856,0.341571,6,2015-03-12
1662,69,6,41.64,4662.0,0.0,2570.0,-0.433884,-0.900969,1.0,0.0,0.945596,0.325342,6,2015-03-13
1686,70,6,38.0,4473.0,0.0,2005.0,-0.974928,-0.222521,1.0,0.0,0.951057,0.309017,6,2015-03-14
1710,71,6,32.0,4065.0,0.0,956.0,-0.781831,0.62349,1.0,0.0,0.956235,0.2926,6,2015-03-15
1734,72,6,50.0,4364.0,0.0,842.0,0.0,1.0,1.0,0.0,0.96113,0.276097,6,2015-03-16
1758,73,6,46.8,4652.0,0.0,108.0,0.781831,0.62349,1.0,0.0,0.96574,0.259512,6,2015-03-17
1782,74,6,45.1,4597.0,0.0,1914.0,0.974928,-0.222521,1.0,0.0,0.970064,0.24285,6,2015-03-18
1806,75,6,35.99,4708.0,0.0,2331.0,0.433884,-0.900969,1.0,0.0,0.9741,0.226116,6,2015-03-19
1830,76,6,30.0,4547.0,0.0,3221.0,-0.433884,-0.900969,1.0,0.0,0.977848,0.209315,6,2015-03-20
1854,77,6,38.4,4393.0,0.0,2485.0,-0.974928,-0.222521,1.0,0.0,0.981306,0.192452,6,2015-03-21
1878,78,6,28.5,4096.0,0.0,2690.0,-0.781831,0.62349,1.0,0.0,0.984474,0.175531,6,2015-03-22
1902,79,6,52.0,4257.0,0.0,1020.0,0.0,1.0,1.0,0.0,0.987349,0.158559,6,2015-03-23
1926,80,6,39.5,4577.0,0.0,3467.0,0.781831,0.62349,1.0,0.0,0.989932,0.14154,6,2015-03-24
1950,81,6,39.5,4726.0,0.0,2703.0,0.974928,-0.222521,1.0,0.0,0.992222,0.124479,6,2015-03-25
1974,82,6,38.4,4737.0,0.0,2023.0,0.433884,-0.900969,1.0,0.0,0.994218,0.107381,6,2015-03-26
1998,83,6,30.0,4272.0,0.0,1908.0,-0.433884,-0.900969,1.0,0.0,0.995919,0.090252,6,2015-03-27
