IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
9,0,9,58.1,4602.0,29.0,169.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,9,2015-01-03
33,1,9,41.86,4339.0,6.0,306.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,9,2015-01-04
57,2,9,66.96,6392.0,4.0,206.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,9,2015-01-05
81,3,9,54.0,6530.0,41.0,167.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,9,2015-01-06
105,4,9,79.99,6616.0,32.0,341.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,9,2015-01-07
129,5,9,74.69,6714.0,14.0,164.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,9,2015-01-08
153,6,9,73.02,6714.0,18.0,941.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,9,2015-01-09
177,7,9,64.82,4888.0,30.0,368.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,9,2015-01-10
201,8,9,41.5,4594.0,5.0,843.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,9,2015-01-11
225,9,9,70.0,6604.0,4.0,990.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,9,2015-01-12
249,10,9,66.2,6837.0,36.0,1841.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,9,2015-01-13
273,11,9,78.9,6998.0,29.0,281.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,9,2015-01-14
297,12,9,63.01,6817.0,28.0,3323.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,9,2015-01-15
321,13,9,70.52,6418.0,10.0,1552.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,9,2015-01-16
345,14,9,60.64,5256.0,30.0,368.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,9,2015-01-17
369,15,9,39.84,4617.0,4.0,1659.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,9,2015-01-18
393,16,9,64.88,7013.0,0.0,3085.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,9,2015-01-19
417,17,9,71.15,6809.0,5.0,1489.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,9,2015-01-20
441,18,9,65.69,6809.0,41.0,2342.0,0.974928,-0.222521,0.5,0.866025,0.353676,0.935368,9,2015-01-21
465,19,9,61.57,6816.0,13.0,2744.0,0.433884,-0.900969,0.5,0.866025,0.369725,0.929141,9,2015-01-22
