IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
16,0,16,52.1,5843.0,134.0,39.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,16,2015-01-03
40,1,16,39.6,5365.0,113.0,159.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,16,2015-01-04
64,2,16,59.98,7101.0,84.0,191.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,16,2015-01-05
88,3,16,52.79,7183.0,179.0,103.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,16,2015-01-06
112,4,16,65.1,7183.0,159.0,64.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,16,2015-01-07
136,5,16,66.49,7106.0,143.0,64.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,16,2015-01-08
160,6,16,67.52,7396.0,97.0,208.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,16,2015-01-09
184,7,16,58.34,6114.0,174.0,66.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,16,2015-01-10
208,8,16,39.54,5785.0,163.0,440.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,16,2015-01-11
232,9,16,62.01,7300.0,133.0,411.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,16,2015-01-12
256,10,16,60.69,7316.0,181.0,1399.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,16,2015-01-13
280,11,16,64.89,7316.0,158.0,786.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,16,2015-01-14
304,12,16,45.03,7166.0,139.0,3483.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,16,2015-01-15
328,13,16,54.02,7241.0,114.0,1321.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,16,2015-01-16
352,14,16,39.84,5959.0,174.0,66.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,16,2015-01-17
376,15,16,42.0,5480.0,41.0,580.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,16,2015-01-18
400,16,16,54.56,7339.0,28.0,1788.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,16,2015-01-19
424,17,16,66.6,7214.0,63.0,1902.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,16,2015-01-20
448,18,16,46.25,7255.0,219.0,3547.0,0.974928,-0.222521,0.5,0.866025,0.353676,0.935368,16,2015-01-21
472,19,16,51.99,7474.0,94.0,1976.0,0.433884,-0.900969,0.5,0.866025,0.369725,0.929141,16,2015-01-22
496,20,16,52.6,7385.0,105.0,506.0,-0.433884,-0.900969,0.5,0.866025,0.385663,0.92264,16,2015-01-23
520,21,16,40.43,6160.0,116.0,637.0,-0.974928,-0.222521,0.5,0.866025,0.401488,0.915864,16,2015-01-24
544,22,16,35.9,5585.0,99.0,463.0,-0.781831,0.62349,0.5,0.866025,0.417194,0.908818,16,2015-01-25
568,23,16,62.75,7146.0,101.0,320.0,0.0,1.0,0.5,0.866025,0.432776,0.901502,16,2015-01-26
592,24,16,56.38,7283.0,220.0,209.0,0.781831,0.62349,0.5,0.866025,0.448229,0.893919,16,2015-01-27
616,25,16,59.89,7283.0,217.0,1197.0,0.974928,-0.222521,0.5,0.866025,0.46355,0.886071,16,2015-01-28
640,26,16,37.4,7174.0,205.0,3451.0,0.433884,-0.900969,0.5,0.866025,0.478734,0.87796,16,2015-01-29
664,27,16,36.0,7109.0,191.0,4006.0,-0.433884,-0.900969,0.5,0.866025,0.493776,0.869589,16,2015-01-30
688,28,16,14.84,5671.0,71.0,3815.0,-0.974928,-0.222521,0.5,0.866025,0.508671,0.860961,16,2015-01-31
712,29,16,6.21,5183.0,53.0,2255.0,-0.781831,0.62349,0.866025,0.5,0.523416,0.852078,16,2015-02-01
736,30,16,43.89,7146.0,66.0,3793.0,0.0,1.0,0.866025,0.5,0.538005,0.842942,16,2015-02-02
760,31,16,43.89,7102.0,181.0,3804.0,0.781831,0.62349,0.866025,0.5,0.552435,0.833556,16,2015-02-03
784,32,16,31.5,7122.0,71.0,2853.0,0.974928,-0.222521,0.866025,0.5,0.566702,0.823923,16,2015-02-04
808,33,16,43.89,6979.0,70.0,1622.0,0.433884,-0.900969,0.866025,0.5,0.5808,0.814046,16,2015-02-05
832,34,16,42.19,6957.0,242.0,960.0,-0.433884,-0.900969,0.866025,0.5,0.594727,0.803928,16,2015-02-06
856,35,16,50.51,5834.0,244.0,789.0,-0.974928,-0.222521,0.866025,0.5,0.608477,0.793572,16,2015-02-07
880,36,16,26.39,5842.0,220.0,1298.0,-0.781831,0.62349,0.866025,0.5,0.622047,0.78298,16,2015-02-08
904,37,16,55.7,7214.0,212.0,1674.0,0.0,1.0,0.866025,0.5,0.635432,0.772157,16,2015-02-09
928,38,16,63.89,7401.0,245.0,848.0,0.781831,0.62349,0.866025,0.5,0.64863,0.761104,16,2015-02-10
952,39,16,69.65,7156.0,232.0,295.0,0.974928,-0.222521,0.866025,0.5,0.661635,0.749826,16,2015-02-11
976,40,16,69.65,7295.0,57.0,625.0,0.433884,-0.900969,0.866025,0.5,0.674444,0.738326,16,2015-02-12
1000,41,16,43.2,7361.0,116.0,2314.0,-0.433884,-0.900969,0.866025,0.5,0.687053,0.726608,16,2015-02-13
1024,42,16,32.4,6000.0,203.0,2766.0,-0.974928,-0.222521,0.866025,0.5,0.699458,0.714673,16,2015-02-14
1048,43,16,25.5,5428.0,194.0,1755.0,-0.781831,0.62349,0.866025,0.5,0.711657,0.702527,16,2015-02-15
1072,44,16,52.46,6602.0,69.0,1828.0,0.0,1.0,0.866025,0.5,0.723644,0.690173,16,2015-02-16
1096,45,16,40.0,5710.0,71.0,3078.0,0.781831,0.62349,0.866025,0.5,0.735417,0.677615,16,2015-02-17
1120,46,16,52.0,6676.0,75.0,1139.0,0.974928,-0.222521,0.866025,0.5,0.746972,0.664855,16,2015-02-18
1144,47,16,58.13,6764.0,235.0,135.0,0.433884,-0.900969,0.866025,0.5,0.758306,0.651899,16,2015-02-19
1168,48,16,49.4,6741.0,259.0,1204.0,-0.433884,-0.900969,0.866025,0.5,0.769415,0.638749,16,2015-02-20
1192,49,16,12.0,5791.0,245.0,2643.0,-0.974928,-0.222521,0.866025,0.5,0.780296,0.625411,16,2015-02-21
1216,50,16,5.0,5351.0,219.0,1412.0,-0.781831,0.62349,0.866025,0.5,0.790946,0.611886,16,2015-02-22
1240,51,16,28.4,6811.0,233.0,3557.0,0.0,1.0,0.866025,0.5,0.801361,0.598181,16,2015-02-23
1264,52,16,26.1,6936.0,188.0,3022.0,0.781831,0.62349,0.866025,0.5,0.811539,0.584298,16,2015-02-24
1288,53,16,34.2,6921.0,84.0,2195.0,0.974928,-0.222521,0.866025,0.5,0.821477,0.570242,16,2015-02-25
1312,54,16,42.9,6956.0,187.0,1871.0,0.433884,-0.900969,0.866025,0.5,0.831171,0.556017,16,2015-02-26
1336,55,16,40.0,6956.0,184.0,1332.0,-0.433884,-0.900969,0.866025,0.5,0.840618,0.541628,16,2015-02-27
1360,56,16,28.58,5791.0,168.0,1142.0,-0.974928,-0.222521,0.866025,0.5,0.849817,0.527078,16,2015-02-28
1384,57,16,14.1,5043.0,165.0,1095.0,-0.781831,0.62349,1.0,0.0,0.858764,0.512371,16,2015-03-01
1408,58,16,45.94,6677.0,155.0,536.0,0.0,1.0,1.0,0.0,0.867456,0.497513,16,2015-03-02
1432,59,16,51.1,7104.0,183.0,574.0,0.781831,0.62349,1.0,0.0,0.875892,0.482508,16,2015-03-03
1456,60,16,28.41,6672.0,110.0,1901.0,0.974928,-0.222521,1.0,0.0,0.884068,0.467359,16,2015-03-04
1480,61,16,28.45,6752.0,168.0,2089.0,0.433884,-0.900969,1.0,0.0,0.891981,0.452072,16,2015-03-05
1504,62,16,45.1,6597.0,220.0,466.0,-0.433884,-0.900969,1.0,0.0,0.899631,0.436651,16,2015-03-06
1528,63,16,43.0,5618.0,261.0,108.0,-0.974928,-0.222521,1.0,0.0,0.907014,0.421101,16,2015-03-07
1552,64,16,25.02,4956.0,260.0,337.0,-0.781831,0.62349,1.0,0.0,0.914128,0.405426,16,2015-03-08
1576,65,16,44.96,6318.0,256.0,95.0,0.0,1.0,1.0,0.0,0.920971,0.38963,16,2015-03-09
1600,66,16,47.96,6349.0,267.0,150.0,0.781831,0.62349,1.0,0.0,0.927542,0.37372,16,2015-03-10
1624,67,16,43.0,6140.0,263.0,63.0,0.974928,-0.222521,1.0,0.0,0.933837,0.357698,16,2015-03-11
1648,68,16,38.17,6194.0,256.0,983.0,0.433884,-0.900969,1.0,0.0,0.939856,0.341571,16,2015-03-12
1672,69,16,41.6,6236.0,256.0,1033.0,-0.433884,-0.900969,1.0,0.0,0.945596,0.325342,16,2015-03-13
1696,70,16,32.22,5164.0,227.0,638.0,-0.974928,-0.222521,1.0,0.0,0.951057,0.309017,16,2015-03-14
1720,71,16,36.14,4446.0,228.0,411.0,-0.781831,0.62349,1.0,0.0,0.956235,0.2926,16,2015-03-15
1744,72,16,53.25,6209.0,256.0,95.0,0.0,1.0,1.0,0.0,0.96113,0.276097,16,2015-03-16
1768,73,16,43.79,6732.0,267.0,150.0,0.781831,0.62349,1.0,0.0,0.96574,0.259512,16,2015-03-17
1792,74,16,45.1,6821.0,67.0,1228.0,0.974928,-0.222521,1.0,0.0,0.970064,0.24285,16,2015-03-18
1816,75,16,32.4,6732.0,63.0,2371.0,0.433884,-0.900969,1.0,0.0,0.9741,0.226116,16,2015-03-19
1840,76,16,41.1,6529.0,135.0,2030.0,-0.433884,-0.900969,1.0,0.0,0.977848,0.209315,16,2015-03-20
1864,77,16,41.5,5119.0,169.0,1484.0,-0.974928,-0.222521,1.0,0.0,0.981306,0.192452,16,2015-03-21
1888,78,16,42.0,4689.0,168.0,1296.0,-0.781831,0.62349,1.0,0.0,0.984474,0.175531,16,2015-03-22
1912,79,16,52.54,6121.0,170.0,2240.0,0.0,1.0,1.0,0.0,0.987349,0.158559,16,2015-03-23
1936,80,16,49.61,6202.0,116.0,3172.0,0.781831,0.62349,1.0,0.0,0.989932,0.14154,16,2015-03-24
1960,81,16,35.2,6418.0,187.0,3014.0,0.974928,-0.222521,1.0,0.0,0.992222,0.124479,16,2015-03-25
1984,82,16,43.96,6373.0,178.0,2433.0,0.433884,-0.900969,1.0,0.0,0.994218,0.107381,16,2015-03-26
2008,83,16,41.1,6273.0,279.0,947.0,-0.433884,-0.900969,1.0,0.0,0.995919,0.090252,16,2015-03-27
2032,84,16,35.5,5112.0,158.0,1140.0,-0.974928,-0.222521,1.0,0.0,0.997325,0.073095,16,2015-03-28
2056,85,16,28.33,4920.0,168.0,1296.0,-0.781831,0.62349,1.0,0.0,0.998435,0.055917,16,2015-03-29
2080,86,16,36.07,6251.0,170.0,2240.0,0.0,1.0,1.0,0.0,0.99925,0.038722,16,2015-03-30
2104,87,16,39.5,6358.0,280.0,660.0,0.781831,0.62349,1.0,0.0,0.999769,0.021516,16,2015-03-31
2128,88,16,27.56,6397.0,321.0,739.0,0.974928,-0.222521,0.866025,-0.5,0.999991,0.004304,16,2015-04-01
2152,89,16,39.69,6252.0,326.0,446.0,0.433884,-0.900969,0.866025,-0.5,0.999917,-0.01291,16,2015-04-02
2176,90,16,35.68,5086.0,332.0,107.0,-0.433884,-0.900969,0.866025,-0.5,0.999546,-0.03012,16,2015-04-03
2200,91,16,19.64,4863.0,354.0,1158.0,-0.974928,-0.222521,0.866025,-0.5,0.99888,-0.047321,16,2015-04-04
2224,92,16,27.07,4223.0,378.0,397.0,-0.781831,0.62349,0.866025,-0.5,0.997917,-0.064508,16,2015-04-05
2248,93,16,30.0,5685.0,404.0,622.0,0.0,1.0,0.866025,-0.5,0.996659,-0.081676,16,2015-04-06
2272,94,16,40.75,6340.0,237.0,1607.0,0.781831,0.62349,0.866025,-0.5,0.995105,-0.09882,16,2015-04-07
2296,95,16,42.95,6290.0,100.0,1929.0,0.974928,-0.222521,0.866025,-0.5,0.993257,-0.115935,16,2015-04-08
2320,96,16,51.49,6197.0,212.0,726.0,0.433884,-0.900969,0.866025,-0.5,0.991114,-0.133015,16,2015-04-09
2344,97,16,57.6,6211.0,58.0,336.0,-0.433884,-0.900969,0.866025,-0.5,0.988678,-0.150055,16,2015-04-10
2368,98,16,46.18,5059.0,160.0,340.0,-0.974928,-0.222521,0.866025,-0.5,0.985948,-0.167052,16,2015-04-11
2392,99,16,26.92,4536.0,172.0,1076.0,-0.781831,0.62349,0.866025,-0.5,0.982927,-0.183998,16,2015-04-12
2416,100,16,44.23,6141.0,185.0,1835.0,0.0,1.0,0.866025,-0.5,0.979614,-0.200891,16,2015-04-13
2440,101,16,39.75,6270.0,269.0,1316.0,0.781831,0.62349,0.866025,-0.5,0.976011,-0.217723,16,2015-04-14
2464,102,16,51.5,6118.0,305.0,249.0,0.974928,-0.222521,0.866025,-0.5,0.972118,-0.234491,16,2015-04-15
2488,103,16,45.25,6148.0,212.0,726.0,0.433884,-0.900969,0.866025,-0.5,0.967938,-0.25119,16,2015-04-16
2512,104,16,56.5,6148.0,58.0,336.0,-0.433884,-0.900969,0.866025,-0.5,0.963471,-0.267814,16,2015-04-17
2536,105,16,32.0,4834.0,196.0,2370.0,-0.974928,-0.222521,0.866025,-0.5,0.958718,-0.284359,16,2015-04-18
2560,106,16,38.8,4456.0,209.0,505.0,-0.781831,0.62349,0.866025,-0.5,0.953681,-0.30082,16,2015-04-19
2584,107,16,54.48,6072.0,223.0,205.0,0.0,1.0,0.866025,-0.5,0.948362,-0.317191,16,2015-04-20
2608,108,16,42.17,6061.0,275.0,1172.0,0.781831,0.62349,0.866025,-0.5,0.942761,-0.333469,16,2015-04-21
2632,109,16,44.69,6098.0,294.0,1043.0,0.974928,-0.222521,0.866025,-0.5,0.936881,-0.349647,16,2015-04-22
2656,110,16,60.0,6098.0,223.0,395.0,0.433884,-0.900969,0.866025,-0.5,0.930724,-0.365723,16,2015-04-23
2680,111,16,51.72,6150.0,267.0,920.0,-0.433884,-0.900969,0.866025,-0.5,0.924291,-0.381689,16,2015-04-24
2704,112,16,36.94,4631.0,293.0,2616.0,-0.974928,-0.222521,0.866025,-0.5,0.917584,-0.397543,16,2015-04-25
2728,113,16,21.49,4767.0,311.0,1907.0,-0.781831,0.62349,0.866025,-0.5,0.910605,-0.413279,16,2015-04-26
2752,114,16,40.41,6073.0,332.0,1116.0,0.0,1.0,0.866025,-0.5,0.903356,-0.428892,16,2015-04-27
2776,115,16,60.12,6130.0,209.0,433.0,0.781831,0.62349,0.866025,-0.5,0.895839,-0.444378,16,2015-04-28
2800,116,16,55.62,6130.0,212.0,924.0,0.974928,-0.222521,0.866025,-0.5,0.888057,-0.459733,16,2015-04-29
2824,117,16,45.25,6048.0,277.0,1421.0,0.433884,-0.900969,0.866025,-0.5,0.880012,-0.474951,16,2015-04-30
2848,118,16,30.0,4693.0,255.0,1042.0,-0.433884,-0.900969,0.5,-0.866025,0.871706,-0.490029,16,2015-05-01
2872,119,16,27.5,4853.0,271.0,1877.0,-0.974928,-0.222521,0.5,-0.866025,0.863142,-0.504961,16,2015-05-02
2896,120,16,32.4,4423.0,288.0,1286.0,-0.781831,0.62349,0.5,-0.866025,0.854322,-0.519744,16,2015-05-03
2920,121,16,37.13,6069.0,306.0,3841.0,0.0,1.0,0.5,-0.866025,0.845249,-0.534373,16,2015-05-04
2944,122,16,45.25,6098.0,100.0,1522.0,0.781831,0.62349,0.5,-0.866025,0.835925,-0.548843,16,2015-05-05
2968,123,16,61.59,6098.0,97.0,86.0,0.974928,-0.222521,0.5,-0.866025,0.826354,-0.563151,16,2015-05-06
2992,124,16,41.8,6144.0,225.0,1482.0,0.433884,-0.900969,0.5,-0.866025,0.816538,-0.577292,16,2015-05-07
3016,125,16,36.8,6157.0,282.0,914.0,-0.433884,-0.900969,0.5,-0.866025,0.80648,-0.591261,16,2015-05-08
3040,126,16,49.6,4844.0,304.0,83.0,-0.974928,-0.222521,0.5,-0.866025,0.796183,-0.605056,16,2015-05-09
3064,127,16,35.1,4581.0,323.0,347.0,-0.781831,0.62349,0.5,-0.866025,0.78565,-0.618671,16,2015-05-10
3088,128,16,48.36,6348.0,344.0,394.0,0.0,1.0,0.5,-0.866025,0.774884,-0.632103,16,2015-05-11
3112,129,16,48.29,6141.0,286.0,1017.0,0.781831,0.62349,0.5,-0.866025,0.763889,-0.645348,16,2015-05-12
3136,130,16,42.02,6274.0,304.0,903.0,0.974928,-0.222521,0.5,-0.866025,0.752667,-0.658402,16,2015-05-13
3160,131,16,36.66,6366.0,268.0,2259.0,0.433884,-0.900969,0.5,-0.866025,0.741222,-0.67126,16,2015-05-14
3184,132,16,45.1,6557.0,233.0,1639.0,-0.433884,-0.900969,0.5,-0.866025,0.729558,-0.683919,16,2015-05-15
3208,133,16,30.6,5101.0,288.0,885.0,-0.974928,-0.222521,0.5,-0.866025,0.717677,-0.696376,16,2015-05-16
3232,134,16,29.1,4694.0,306.0,348.0,-0.781831,0.62349,0.5,-0.866025,0.705584,-0.708627,16,2015-05-17
3256,135,16,55.48,6333.0,325.0,677.0,0.0,1.0,0.5,-0.866025,0.693281,-0.720667,16,2015-05-18
3280,136,16,46.9,6268.0,289.0,2570.0,0.781831,0.62349,0.5,-0.866025,0.680773,-0.732494,16,2015-05-19
3304,137,16,45.6,6273.0,254.0,1551.0,0.974928,-0.222521,0.5,-0.866025,0.668064,-0.744104,16,2015-05-20
3328,138,16,47.6,6208.0,295.0,681.0,0.433884,-0.900969,0.5,-0.866025,0.655156,-0.755493,16,2015-05-21
3352,139,16,45.55,6143.0,306.0,1135.0,-0.433884,-0.900969,0.5,-0.866025,0.642055,-0.766659,16,2015-05-22
3376,140,16,31.0,5051.0,307.0,782.0,-0.974928,-0.222521,0.5,-0.866025,0.628763,-0.777597,16,2015-05-23
3400,141,16,28.42,4731.0,327.0,815.0,-0.781831,0.62349,0.5,-0.866025,0.615285,-0.788305,16,2015-05-24
