IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
21,0,21,59.51,6917.0,0.0,116.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,21,2015-01-03
45,1,21,62.69,6801.0,0.0,617.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,21,2015-01-04
69,2,21,65.11,7791.0,0.0,361.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,21,2015-01-05
93,3,21,62.69,8131.0,0.0,265.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,21,2015-01-06
117,4,21,66.69,8131.0,0.0,326.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,21,2015-01-07
141,5,21,66.49,8378.0,0.0,462.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,21,2015-01-08
165,6,21,65.01,8391.0,0.0,952.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,21,2015-01-09
189,7,21,63.71,7188.0,0.0,175.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,21,2015-01-10
213,8,21,67.92,6859.0,0.0,797.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,21,2015-01-11
237,9,21,62.99,8269.0,0.0,990.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,21,2015-01-12
261,10,21,63.89,8381.0,0.0,819.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,21,2015-01-13
285,11,21,62.99,8282.0,0.0,1475.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,21,2015-01-14
309,12,21,54.12,8182.0,0.0,2697.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,21,2015-01-15
333,13,21,59.88,7986.0,0.0,1727.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,21,2015-01-16
357,14,21,53.7,7474.0,0.0,175.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,21,2015-01-17
381,15,21,57.59,7206.0,0.0,3062.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,21,2015-01-18
405,16,21,65.69,8230.0,0.0,1469.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,21,2015-01-19
429,17,21,65.75,8105.0,0.0,2510.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,21,2015-01-20
453,18,21,45.0,8322.0,0.0,3573.0,0.974928,-0.222521,0.5,0.866025,0.353676,0.935368,21,2015-01-21
477,19,21,60.76,8323.0,0.0,1620.0,0.433884,-0.900969,0.5,0.866025,0.369725,0.929141,21,2015-01-22
501,20,21,60.03,7987.0,0.0,795.0,-0.433884,-0.900969,0.5,0.866025,0.385663,0.92264,21,2015-01-23
525,21,21,57.25,7500.0,0.0,1305.0,-0.974928,-0.222521,0.5,0.866025,0.401488,0.915864,21,2015-01-24
549,22,21,61.95,7057.0,0.0,1065.0,-0.781831,0.62349,0.5,0.866025,0.417194,0.908818,21,2015-01-25
573,23,21,67.01,7975.0,0.0,1089.0,0.0,1.0,0.5,0.866025,0.432776,0.901502,21,2015-01-26
597,24,21,61.0,7938.0,0.0,735.0,0.781831,0.62349,0.5,0.866025,0.448229,0.893919,21,2015-01-27
621,25,21,63.1,8047.0,0.0,1736.0,0.974928,-0.222521,0.5,0.866025,0.46355,0.886071,21,2015-01-28
645,26,21,39.9,7959.0,0.0,3718.0,0.433884,-0.900969,0.5,0.866025,0.478734,0.87796,21,2015-01-29
669,27,21,42.94,7887.0,0.0,3942.0,-0.433884,-0.900969,0.5,0.866025,0.493776,0.869589,21,2015-01-30
693,28,21,37.54,7084.0,0.0,3340.0,-0.974928,-0.222521,0.5,0.866025,0.508671,0.860961,21,2015-01-31
717,29,21,50.01,6886.0,0.0,1822.0,-0.781831,0.62349,0.866025,0.5,0.523416,0.852078,21,2015-02-01
741,30,21,54.1,8019.0,0.0,3888.0,0.0,1.0,0.866025,0.5,0.538005,0.842942,21,2015-02-02
765,31,21,54.7,8002.0,0.0,3672.0,0.781831,0.62349,0.866025,0.5,0.552435,0.833556,21,2015-02-03
789,32,21,50.83,8017.0,0.0,2542.0,0.974928,-0.222521,0.866025,0.5,0.566702,0.823923,21,2015-02-04
813,33,21,53.0,8017.0,0.0,1984.0,0.433884,-0.900969,0.866025,0.5,0.5808,0.814046,21,2015-02-05
837,34,21,54.49,8046.0,0.0,1290.0,-0.433884,-0.900969,0.866025,0.5,0.594727,0.803928,21,2015-02-06
861,35,21,60.0,7085.0,0.0,1954.0,-0.974928,-0.222521,0.866025,0.5,0.608477,0.793572,21,2015-02-07
885,36,21,49.88,7270.0,0.0,2780.0,-0.781831,0.62349,0.866025,0.5,0.622047,0.78298,21,2015-02-08
909,37,21,63.89,8082.0,0.0,2427.0,0.0,1.0,0.866025,0.5,0.635432,0.772157,21,2015-02-09
933,38,21,66.69,8176.0,0.0,1078.0,0.781831,0.62349,0.866025,0.5,0.64863,0.761104,21,2015-02-10
957,39,21,72.21,8131.0,0.0,236.0,0.974928,-0.222521,0.866025,0.5,0.661635,0.749826,21,2015-02-11
981,40,21,71.75,7956.0,0.0,663.0,0.433884,-0.900969,0.866025,0.5,0.674444,0.738326,21,2015-02-12
1005,41,21,60.0,7776.0,0.0,2147.0,-0.433884,-0.900969,0.866025,0.5,0.687053,0.726608,21,2015-02-13
1029,42,21,42.61,7115.0,0.0,3571.0,-0.974928,-0.222521,0.866025,0.5,0.699458,0.714673,21,2015-02-14
1053,43,21,53.15,6920.0,0.0,1407.0,-0.781831,0.62349,0.866025,0.5,0.711657,0.702527,21,2015-02-15
1077,44,21,53.01,7141.0,0.0,3044.0,0.0,1.0,0.866025,0.5,0.723644,0.690173,21,2015-02-16
1101,45,21,48.99,6825.0,0.0,3324.0,0.781831,0.62349,0.866025,0.5,0.735417,0.677615,21,2015-02-17
1125,46,21,56.69,7323.0,0.0,1916.0,0.974928,-0.222521,0.866025,0.5,0.746972,0.664855,21,2015-02-18
1149,47,21,68.03,7396.0,0.0,254.0,0.433884,-0.900969,0.866025,0.5,0.758306,0.651899,21,2015-02-19
1173,48,21,58.09,7517.0,0.0,1251.0,-0.433884,-0.900969,0.866025,0.5,0.769415,0.638749,21,2015-02-20
1197,49,21,37.5,6895.0,0.0,2897.0,-0.974928,-0.222521,0.866025,0.5,0.780296,0.625411,21,2015-02-21
1221,50,21,43.6,6811.0,0.0,1690.0,-0.781831,0.62349,0.866025,0.5,0.790946,0.611886,21,2015-02-22
1245,51,21,38.4,7428.0,0.0,3573.0,0.0,1.0,0.866025,0.5,0.801361,0.598181,21,2015-02-23
1269,52,21,45.2,7553.0,0.0,2315.0,0.781831,0.62349,0.866025,0.5,0.811539,0.584298,21,2015-02-24
1293,53,21,43.1,7604.0,0.0,2216.0,0.974928,-0.222521,0.866025,0.5,0.821477,0.570242,21,2015-02-25
1317,54,21,48.82,7639.0,0.0,2145.0,0.433884,-0.900969,0.866025,0.5,0.831171,0.556017,21,2015-02-26
1341,55,21,48.82,7639.0,0.0,1783.0,-0.433884,-0.900969,0.866025,0.5,0.840618,0.541628,21,2015-02-27
1365,56,21,44.51,6895.0,0.0,1405.0,-0.974928,-0.222521,0.866025,0.5,0.849817,0.527078,21,2015-02-28
1389,57,21,41.21,6542.0,0.0,1447.0,-0.781831,0.62349,1.0,0.0,0.858764,0.512371,21,2015-03-01
1413,58,21,75.6,7334.0,0.0,634.0,0.0,1.0,1.0,0.0,0.867456,0.497513,21,2015-03-02
1437,59,21,60.53,7583.0,0.0,977.0,0.781831,0.62349,1.0,0.0,0.875892,0.482508,21,2015-03-03
1461,60,21,41.52,7313.0,0.0,3329.0,0.974928,-0.222521,1.0,0.0,0.884068,0.467359,21,2015-03-04
1485,61,21,47.09,7389.0,0.0,2614.0,0.433884,-0.900969,1.0,0.0,0.891981,0.452072,21,2015-03-05
1509,62,21,62.0,7263.0,0.0,894.0,-0.433884,-0.900969,1.0,0.0,0.899631,0.436651,21,2015-03-06
1533,63,21,60.0,6684.0,0.0,143.0,-0.974928,-0.222521,1.0,0.0,0.907014,0.421101,21,2015-03-07
1557,64,21,48.0,6467.0,0.0,653.0,-0.781831,0.62349,1.0,0.0,0.914128,0.405426,21,2015-03-08
1581,65,21,57.8,7076.0,0.0,379.0,0.0,1.0,1.0,0.0,0.920971,0.38963,21,2015-03-09
1605,66,21,67.44,7107.0,0.0,205.0,0.781831,0.62349,1.0,0.0,0.927542,0.37372,21,2015-03-10
1629,67,21,53.69,6798.0,0.0,124.0,0.974928,-0.222521,1.0,0.0,0.933837,0.357698,21,2015-03-11
1653,68,21,48.18,6984.0,0.0,1622.0,0.433884,-0.900969,1.0,0.0,0.939856,0.341571,21,2015-03-12
1677,69,21,47.7,6969.0,0.0,1514.0,-0.433884,-0.900969,1.0,0.0,0.945596,0.325342,21,2015-03-13
1701,70,21,47.5,6175.0,0.0,1154.0,-0.974928,-0.222521,1.0,0.0,0.951057,0.309017,21,2015-03-14
1725,71,21,54.32,5753.0,0.0,783.0,-0.781831,0.62349,1.0,0.0,0.956235,0.2926,21,2015-03-15
1749,72,21,60.1,6967.0,0.0,379.0,0.0,1.0,1.0,0.0,0.96113,0.276097,21,2015-03-16
1773,73,21,49.1,7088.0,0.0,205.0,0.781831,0.62349,1.0,0.0,0.96574,0.259512,21,2015-03-17
1797,74,21,49.1,7188.0,0.0,1406.0,0.974928,-0.222521,1.0,0.0,0.970064,0.24285,21,2015-03-18
1821,75,21,42.91,7088.0,0.0,2976.0,0.433884,-0.900969,1.0,0.0,0.9741,0.226116,21,2015-03-19
1845,76,21,46.0,6880.0,0.0,2433.0,-0.433884,-0.900969,1.0,0.0,0.977848,0.209315,21,2015-03-20
1869,77,21,49.97,6174.0,0.0,1675.0,-0.974928,-0.222521,1.0,0.0,0.981306,0.192452,21,2015-03-21
1893,78,21,59.01,6093.0,0.0,1489.0,-0.781831,0.62349,1.0,0.0,0.984474,0.175531,21,2015-03-22
1917,79,21,53.41,6781.0,0.0,2935.0,0.0,1.0,1.0,0.0,0.987349,0.158559,21,2015-03-23
1941,80,21,54.82,6865.0,0.0,3140.0,0.781831,0.62349,1.0,0.0,0.989932,0.14154,21,2015-03-24
1965,81,21,56.56,7062.0,0.0,2621.0,0.974928,-0.222521,1.0,0.0,0.992222,0.124479,21,2015-03-25
1989,82,21,53.01,6962.0,0.0,2264.0,0.433884,-0.900969,1.0,0.0,0.994218,0.107381,21,2015-03-26
2013,83,21,46.0,6690.0,0.0,1288.0,-0.433884,-0.900969,1.0,0.0,0.995919,0.090252,21,2015-03-27
2037,84,21,52.02,6235.0,0.0,1744.0,-0.974928,-0.222521,1.0,0.0,0.997325,0.073095,21,2015-03-28
2061,85,21,51.0,5704.0,0.0,1489.0,-0.781831,0.62349,1.0,0.0,0.998435,0.055917,21,2015-03-29
2085,86,21,55.69,6359.0,0.0,2935.0,0.0,1.0,1.0,0.0,0.99925,0.038722,21,2015-03-30
2109,87,21,50.89,6468.0,0.0,1357.0,0.781831,0.62349,1.0,0.0,0.999769,0.021516,21,2015-03-31
2133,88,21,40.48,6507.0,0.0,1427.0,0.974928,-0.222521,0.866025,-0.5,0.999991,0.004304,21,2015-04-01
2157,89,21,55.69,6361.0,0.0,455.0,0.433884,-0.900969,0.866025,-0.5,0.999917,-0.01291,21,2015-04-02
2181,90,21,46.46,5532.0,0.0,340.0,-0.433884,-0.900969,0.866025,-0.5,0.999546,-0.03012,21,2015-04-03
2205,91,21,33.21,5625.0,0.0,1898.0,-0.974928,-0.222521,0.866025,-0.5,0.99888,-0.047321,21,2015-04-04
2229,92,21,50.02,5083.0,0.0,444.0,-0.781831,0.62349,0.866025,-0.5,0.997917,-0.064508,21,2015-04-05
