IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
10,0,10,59.8,5061.0,116.0,149.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,10,2015-01-03
34,1,10,48.51,4782.0,92.0,316.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,10,2015-01-04
58,2,10,67.52,6948.0,55.0,184.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,10,2015-01-05
82,3,10,59.28,7089.0,152.0,138.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,10,2015-01-06
106,4,10,85.05,7159.0,127.0,285.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,10,2015-01-07
130,5,10,75.96,7338.0,94.0,152.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,10,2015-01-08
154,6,10,75.69,7338.0,73.0,774.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,10,2015-01-09
178,7,10,67.69,5342.0,123.0,277.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,10,2015-01-10
202,8,10,43.0,5037.0,92.0,748.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,10,2015-01-11
226,9,10,70.69,7294.0,57.0,878.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,10,2015-01-12
250,10,10,68.52,7375.0,141.0,1774.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,10,2015-01-13
274,11,10,81.12,7480.0,124.0,275.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,10,2015-01-14
298,12,10,64.0,7328.0,110.0,3430.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,10,2015-01-15
322,13,10,71.25,7033.0,71.0,1401.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,10,2015-01-16
346,14,10,64.88,5788.0,123.0,277.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,10,2015-01-17
370,15,10,43.97,5200.0,37.0,1337.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,10,2015-01-18
394,16,10,65.02,7554.0,15.0,2859.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,10,2015-01-19
418,17,10,77.51,7379.0,37.0,1564.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,10,2015-01-20
442,18,10,67.75,7354.0,157.0,2314.0,0.974928,-0.222521,0.5,0.866025,0.353676,0.935368,10,2015-01-21
466,19,10,63.27,7409.0,60.0,2604.0,0.433884,-0.900969,0.5,0.866025,0.369725,0.929141,10,2015-01-22
490,20,10,68.5,7289.0,84.0,570.0,-0.433884,-0.900969,0.5,0.866025,0.385663,0.92264,10,2015-01-23
514,21,10,57.1,5917.0,85.0,946.0,-0.974928,-0.222521,0.5,0.866025,0.401488,0.915864,10,2015-01-24
538,22,10,40.5,5166.0,51.0,1039.0,-0.781831,0.62349,0.5,0.866025,0.417194,0.908818,10,2015-01-25
562,23,10,69.7,7220.0,47.0,717.0,0.0,1.0,0.5,0.866025,0.432776,0.901502,10,2015-01-26
586,24,10,70.52,7350.0,161.0,762.0,0.781831,0.62349,0.5,0.866025,0.448229,0.893919,10,2015-01-27
610,25,10,72.52,7350.0,171.0,1222.0,0.974928,-0.222521,0.5,0.866025,0.46355,0.886071,10,2015-01-28
634,26,10,61.44,7317.0,159.0,2749.0,0.433884,-0.900969,0.5,0.866025,0.478734,0.87796,10,2015-01-29
658,27,10,52.01,7299.0,139.0,4021.0,-0.433884,-0.900969,0.5,0.866025,0.493776,0.869589,10,2015-01-30
682,28,10,35.62,5749.0,53.0,3698.0,-0.974928,-0.222521,0.5,0.866025,0.508671,0.860961,10,2015-01-31
706,29,10,10.71,4973.0,38.0,2180.0,-0.781831,0.62349,0.866025,0.5,0.523416,0.852078,10,2015-02-01
730,30,10,63.89,7285.0,28.0,3467.0,0.0,1.0,0.866025,0.5,0.538005,0.842942,10,2015-02-02
754,31,10,57.59,7320.0,139.0,3190.0,0.781831,0.62349,0.866025,0.5,0.552435,0.833556,10,2015-02-03
778,32,10,58.31,7325.0,45.0,2550.0,0.974928,-0.222521,0.866025,0.5,0.566702,0.823923,10,2015-02-04
802,33,10,58.49,7291.0,52.0,1639.0,0.433884,-0.900969,0.866025,0.5,0.5808,0.814046,10,2015-02-05
826,34,10,59.99,7251.0,189.0,1280.0,-0.433884,-0.900969,0.866025,0.5,0.594727,0.803928,10,2015-02-06
850,35,10,56.62,5762.0,183.0,1059.0,-0.974928,-0.222521,0.866025,0.5,0.608477,0.793572,10,2015-02-07
874,36,10,43.98,5189.0,143.0,1400.0,-0.781831,0.62349,0.866025,0.5,0.622047,0.78298,10,2015-02-08
898,37,10,62.21,7336.0,96.0,3059.0,0.0,1.0,0.866025,0.5,0.635432,0.772157,10,2015-02-09
922,38,10,70.7,7350.0,186.0,1794.0,0.781831,0.62349,0.866025,0.5,0.64863,0.761104,10,2015-02-10
946,39,10,73.21,7314.0,185.0,574.0,0.974928,-0.222521,0.866025,0.5,0.661635,0.749826,10,2015-02-11
970,40,10,75.71,7280.0,47.0,302.0,0.433884,-0.900969,0.866025,0.5,0.674444,0.738326,10,2015-02-12
994,41,10,60.1,7239.0,88.0,1230.0,-0.433884,-0.900969,0.866025,0.5,0.687053,0.726608,10,2015-02-13
1018,42,10,47.31,5703.0,157.0,1657.0,-0.974928,-0.222521,0.866025,0.5,0.699458,0.714673,10,2015-02-14
1042,43,10,33.02,5091.0,135.0,2561.0,-0.781831,0.62349,0.866025,0.5,0.711657,0.702527,10,2015-02-15
1066,44,10,66.73,6672.0,53.0,2673.0,0.0,1.0,0.866025,0.5,0.723644,0.690173,10,2015-02-16
1090,45,10,48.99,5553.0,49.0,2789.0,0.781831,0.62349,0.866025,0.5,0.735417,0.677615,10,2015-02-17
1114,46,10,56.69,6814.0,39.0,2436.0,0.974928,-0.222521,0.866025,0.5,0.746972,0.664855,10,2015-02-18
1138,47,10,61.49,6886.0,208.0,939.0,0.433884,-0.900969,0.866025,0.5,0.758306,0.651899,10,2015-02-19
1162,48,10,58.92,6771.0,200.0,559.0,-0.433884,-0.900969,0.866025,0.5,0.769415,0.638749,10,2015-02-20
1186,49,10,46.1,5547.0,190.0,1919.0,-0.974928,-0.222521,0.866025,0.5,0.780296,0.625411,10,2015-02-21
1210,50,10,15.55,5017.0,154.0,1448.0,-0.781831,0.62349,0.866025,0.5,0.790946,0.611886,10,2015-02-22
1234,51,10,49.62,6917.0,116.0,2699.0,0.0,1.0,0.866025,0.5,0.801361,0.598181,10,2015-02-23
1258,52,10,35.01,7067.0,149.0,2726.0,0.781831,0.62349,0.866025,0.5,0.811539,0.584298,10,2015-02-24
1282,53,10,44.0,7001.0,65.0,1810.0,0.974928,-0.222521,0.866025,0.5,0.821477,0.570242,10,2015-02-25
1306,54,10,51.48,7069.0,152.0,1610.0,0.433884,-0.900969,0.866025,0.5,0.831171,0.556017,10,2015-02-26
1330,55,10,46.1,7069.0,147.0,1287.0,-0.433884,-0.900969,0.866025,0.5,0.840618,0.541628,10,2015-02-27
1354,56,10,41.79,5547.0,142.0,1255.0,-0.974928,-0.222521,0.866025,0.5,0.849817,0.527078,10,2015-02-28
1378,57,10,25.13,4761.0,114.0,905.0,-0.781831,0.62349,1.0,0.0,0.858764,0.512371,10,2015-03-01
1402,58,10,50.48,6786.0,107.0,831.0,0.0,1.0,1.0,0.0,0.867456,0.497513,10,2015-03-02
1426,59,10,61.69,7030.0,147.0,392.0,0.781831,0.62349,1.0,0.0,0.875892,0.482508,10,2015-03-03
1450,60,10,42.0,6733.0,79.0,2320.0,0.974928,-0.222521,1.0,0.0,0.884068,0.467359,10,2015-03-04
1474,61,10,30.68,6814.0,128.0,3490.0,0.433884,-0.900969,1.0,0.0,0.891981,0.452072,10,2015-03-05
1498,62,10,57.0,6658.0,182.0,1653.0,-0.433884,-0.900969,1.0,0.0,0.899631,0.436651,10,2015-03-06
1522,63,10,46.14,5282.0,227.0,652.0,-0.974928,-0.222521,1.0,0.0,0.907014,0.421101,10,2015-03-07
1546,64,10,38.17,4477.0,217.0,420.0,-0.781831,0.62349,1.0,0.0,0.914128,0.405426,10,2015-03-08
1570,65,10,52.3,6447.0,199.0,342.0,0.0,1.0,1.0,0.0,0.920971,0.38963,10,2015-03-09
1594,66,10,58.9,6478.0,235.0,62.0,0.781831,0.62349,1.0,0.0,0.927542,0.37372,10,2015-03-10
1618,67,10,53.16,6447.0,225.0,73.0,0.974928,-0.222521,1.0,0.0,0.933837,0.357698,10,2015-03-11
1642,68,10,51.4,6439.0,224.0,269.0,0.433884,-0.900969,1.0,0.0,0.939856,0.341571,10,2015-03-12
1666,69,10,45.01,6487.0,221.0,1948.0,-0.433884,-0.900969,1.0,0.0,0.945596,0.325342,10,2015-03-13
1690,70,10,42.15,5295.0,195.0,1570.0,-0.974928,-0.222521,1.0,0.0,0.951057,0.309017,10,2015-03-14
1714,71,10,41.5,4447.0,184.0,227.0,-0.781831,0.62349,1.0,0.0,0.956235,0.2926,10,2015-03-15
1738,72,10,63.0,6338.0,199.0,342.0,0.0,1.0,1.0,0.0,0.96113,0.276097,10,2015-03-16
1762,73,10,50.76,6575.0,235.0,62.0,0.781831,0.62349,1.0,0.0,0.96574,0.259512,10,2015-03-17
1786,74,10,52.61,6595.0,54.0,1173.0,0.974928,-0.222521,1.0,0.0,0.970064,0.24285,10,2015-03-18
1810,75,10,46.1,6676.0,47.0,2222.0,0.433884,-0.900969,1.0,0.0,0.9741,0.226116,10,2015-03-19
1834,76,10,45.6,6476.0,124.0,3041.0,-0.433884,-0.900969,1.0,0.0,0.977848,0.209315,10,2015-03-20
1858,77,10,46.35,5198.0,143.0,2179.0,-0.974928,-0.222521,1.0,0.0,0.981306,0.192452,10,2015-03-21
1882,78,10,43.69,4774.0,124.0,2345.0,-0.781831,0.62349,1.0,0.0,0.984474,0.175531,10,2015-03-22
