IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
15,0,15,52.69,5878.0,195.0,41.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,15,2015-01-03
39,1,15,39.82,5487.0,196.0,140.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,15,2015-01-04
63,2,15,59.8,7134.0,202.0,180.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,15,2015-01-05
87,3,15,53.2,7212.0,254.0,87.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,15,2015-01-06
111,4,15,64.13,7212.0,223.0,58.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,15,2015-01-07
135,5,15,64.89,7148.0,197.0,59.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,15,2015-01-08
159,6,15,64.99,7337.0,135.0,206.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,15,2015-01-09
183,7,15,58.58,6149.0,237.0,62.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,15,2015-01-10
207,8,15,39.2,5820.0,250.0,405.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,15,2015-01-11
231,9,15,60.76,7333.0,260.0,399.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,15,2015-01-12
255,10,15,57.59,7349.0,248.0,1541.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,15,2015-01-13
279,11,15,63.01,7349.0,221.0,634.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,15,2015-01-14
303,12,15,40.8,7199.0,193.0,3669.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,15,2015-01-15
327,13,15,46.25,7331.0,155.0,1191.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,15,2015-01-16
351,14,15,40.4,6048.0,237.0,62.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,15,2015-01-17
375,15,15,42.51,5605.0,71.0,491.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,15,2015-01-18
399,16,15,47.43,7364.0,64.0,1978.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,15,2015-01-19
423,17,15,65.01,7239.0,84.0,1822.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,15,2015-01-20
