IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
2,0,2,43.66,4937.0,0.0,250.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,2,2015-01-03
26,1,2,38.4,4913.0,0.0,147.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,2,2015-01-04
50,2,2,43.93,4769.0,0.0,458.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,2,2015-01-05
74,3,2,46.0,5030.0,0.0,220.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,2,2015-01-06
98,4,2,48.95,5030.0,0.0,335.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,2,2015-01-07
122,5,2,58.69,5406.0,0.0,231.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,2,2015-01-08
146,6,2,48.89,5498.0,0.0,1029.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,2,2015-01-09
170,7,2,43.05,5223.0,0.0,914.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,2,2015-01-10
194,8,2,39.41,4929.0,0.0,390.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,2,2015-01-11
218,9,2,41.3,5073.0,0.0,964.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,2,2015-01-12
242,10,2,40.8,5300.0,0.0,1494.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,2,2015-01-13
266,11,2,43.05,5511.0,0.0,552.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,2,2015-01-14
290,12,2,34.73,5306.0,0.0,2379.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,2,2015-01-15
314,13,2,33.04,5385.0,0.0,2606.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,2,2015-01-16
338,14,2,33.04,5434.0,0.0,914.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,2,2015-01-17
362,15,2,28.75,5012.0,0.0,3067.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,2,2015-01-18
