IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
14,0,14,56.9,5988.0,230.0,49.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,14,2015-01-03
38,1,14,46.48,5654.0,245.0,153.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,14,2015-01-04
62,2,14,60.01,7015.0,271.0,165.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,14,2015-01-05
86,3,14,52.69,7120.0,297.0,72.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,14,2015-01-06
110,4,14,64.89,7120.0,260.0,71.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,14,2015-01-07
134,5,14,65.1,7085.0,227.0,62.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,14,2015-01-08
158,6,14,65.0,7181.0,155.0,245.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,14,2015-01-09
182,7,14,62.43,6259.0,270.0,62.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,14,2015-01-10
206,8,14,42.0,5930.0,297.0,399.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,14,2015-01-11
230,9,14,62.01,7288.0,327.0,406.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,14,2015-01-12
254,10,14,57.46,7292.0,286.0,1610.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,14,2015-01-13
278,11,14,63.89,7292.0,257.0,489.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,14,2015-01-14
302,12,14,41.35,7142.0,223.0,3774.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,14,2015-01-15
326,13,14,48.84,7401.0,177.0,1129.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,14,2015-01-16
350,14,14,47.0,6121.0,270.0,62.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,14,2015-01-17
374,15,14,52.8,5816.0,91.0,501.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,14,2015-01-18
398,16,14,47.72,7306.0,90.0,2113.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,14,2015-01-19
422,17,14,65.01,7181.0,96.0,1756.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,14,2015-01-20
446,18,14,45.13,7231.0,324.0,3118.0,0.974928,-0.222521,0.5,0.866025,0.353676,0.935368,14,2015-01-21
470,19,14,47.43,7443.0,156.0,2168.0,0.433884,-0.900969,0.5,0.866025,0.369725,0.929141,14,2015-01-22
494,20,14,50.1,7440.0,165.0,423.0,-0.433884,-0.900969,0.5,0.866025,0.385663,0.92264,14,2015-01-23
518,21,14,45.2,6266.0,179.0,698.0,-0.974928,-0.222521,0.5,0.866025,0.401488,0.915864,14,2015-01-24
542,22,14,38.5,5875.0,174.0,516.0,-0.781831,0.62349,0.5,0.866025,0.417194,0.908818,14,2015-01-25
566,23,14,61.64,7069.0,221.0,273.0,0.0,1.0,0.5,0.866025,0.432776,0.901502,14,2015-01-26
590,24,14,55.1,7225.0,324.0,186.0,0.781831,0.62349,0.5,0.866025,0.448229,0.893919,14,2015-01-27
614,25,14,59.82,7225.0,321.0,918.0,0.974928,-0.222521,0.5,0.866025,0.46355,0.886071,14,2015-01-28
638,26,14,37.63,7190.0,304.0,3255.0,0.433884,-0.900969,0.5,0.866025,0.478734,0.87796,14,2015-01-29
662,27,14,34.48,7125.0,278.0,4023.0,-0.433884,-0.900969,0.5,0.866025,0.493776,0.869589,14,2015-01-30
686,28,14,10.0,5927.0,110.0,3785.0,-0.974928,-0.222521,0.5,0.866025,0.508671,0.860961,14,2015-01-31
710,29,14,6.33,5493.0,108.0,2248.0,-0.781831,0.62349,0.866025,0.5,0.523416,0.852078,14,2015-02-01
734,30,14,43.89,7123.0,143.0,3702.0,0.0,1.0,0.866025,0.5,0.538005,0.842942,14,2015-02-02
758,31,14,42.59,7169.0,264.0,3633.0,0.781831,0.62349,0.866025,0.5,0.552435,0.833556,14,2015-02-03
782,32,14,30.62,7188.0,102.0,2678.0,0.974928,-0.222521,0.866025,0.5,0.566702,0.823923,14,2015-02-04
806,33,14,42.59,7077.0,105.0,1481.0,0.433884,-0.900969,0.866025,0.5,0.5808,0.814046,14,2015-02-05
830,34,14,40.75,7038.0,339.0,847.0,-0.433884,-0.900969,0.866025,0.5,0.594727,0.803928,14,2015-02-06
854,35,14,53.24,6035.0,343.0,847.0,-0.974928,-0.222521,0.866025,0.5,0.608477,0.793572,14,2015-02-07
878,36,14,33.21,6080.0,353.0,1148.0,-0.781831,0.62349,0.866025,0.5,0.622047,0.78298,14,2015-02-08
902,37,14,55.1,7180.0,388.0,2062.0,0.0,1.0,0.866025,0.5,0.635432,0.772157,14,2015-02-09
926,38,14,61.9,7365.0,344.0,1071.0,0.781831,0.62349,0.866025,0.5,0.64863,0.761104,14,2015-02-10
950,39,14,68.03,7213.0,326.0,399.0,0.974928,-0.222521,0.866025,0.5,0.661635,0.749826,14,2015-02-11
974,40,14,69.1,7234.0,88.0,458.0,0.433884,-0.900969,0.866025,0.5,0.674444,0.738326,14,2015-02-12
998,41,14,47.54,7337.0,165.0,1984.0,-0.433884,-0.900969,0.866025,0.5,0.687053,0.726608,14,2015-02-13
1022,42,14,37.9,6166.0,286.0,2357.0,-0.974928,-0.222521,0.866025,0.5,0.699458,0.714673,14,2015-02-14
1046,43,14,26.32,5715.0,303.0,1930.0,-0.781831,0.62349,0.866025,0.5,0.711657,0.702527,14,2015-02-15
1070,44,14,54.01,6667.0,97.0,1580.0,0.0,1.0,0.866025,0.5,0.723644,0.690173,14,2015-02-16
1094,45,14,38.71,5962.0,98.0,3029.0,0.781831,0.62349,0.866025,0.5,0.735417,0.677615,14,2015-02-17
1118,46,14,50.36,6727.0,113.0,1398.0,0.974928,-0.222521,0.866025,0.5,0.746972,0.664855,14,2015-02-18
1142,47,14,56.15,6823.0,324.0,243.0,0.433884,-0.900969,0.866025,0.5,0.758306,0.651899,14,2015-02-19
1166,48,14,51.9,6759.0,350.0,1002.0,-0.433884,-0.900969,0.866025,0.5,0.769415,0.638749,14,2015-02-20
1190,49,14,27.72,5956.0,331.0,2311.0,-0.974928,-0.222521,0.866025,0.5,0.780296,0.625411,14,2015-02-21
1214,50,14,9.85,5632.0,324.0,1305.0,-0.781831,0.62349,0.866025,0.5,0.790946,0.611886,14,2015-02-22
1238,51,14,28.51,6876.0,380.0,3176.0,0.0,1.0,0.866025,0.5,0.801361,0.598181,14,2015-02-23
1262,52,14,24.13,7001.0,254.0,3099.0,0.781831,0.62349,0.866025,0.5,0.811539,0.584298,14,2015-02-24
1286,53,14,28.63,6806.0,115.0,2117.0,0.974928,-0.222521,0.866025,0.5,0.821477,0.570242,14,2015-02-25
1310,54,14,41.1,6937.0,253.0,1754.0,0.433884,-0.900969,0.866025,0.5,0.831171,0.556017,14,2015-02-26
1334,55,14,40.57,6937.0,245.0,996.0,-0.433884,-0.900969,0.866025,0.5,0.840618,0.541628,14,2015-02-27
1358,56,14,35.12,5956.0,228.0,1145.0,-0.974928,-0.222521,0.866025,0.5,0.849817,0.527078,14,2015-02-28
1382,57,14,23.68,5372.0,240.0,915.0,-0.781831,0.62349,1.0,0.0,0.858764,0.512371,14,2015-03-01
1406,58,14,47.47,6659.0,254.0,580.0,0.0,1.0,1.0,0.0,0.867456,0.497513,14,2015-03-02
1430,59,14,53.69,7001.0,244.0,432.0,0.781831,0.62349,1.0,0.0,0.875892,0.482508,14,2015-03-03
1454,60,14,31.45,6654.0,143.0,1882.0,0.974928,-0.222521,1.0,0.0,0.884068,0.467359,14,2015-03-04
1478,61,14,27.56,6734.0,219.0,2638.0,0.433884,-0.900969,1.0,0.0,0.891981,0.452072,14,2015-03-05
1502,62,14,49.33,6579.0,292.0,661.0,-0.433884,-0.900969,1.0,0.0,0.899631,0.436651,14,2015-03-06
1526,63,14,45.09,5777.0,349.0,212.0,-0.974928,-0.222521,1.0,0.0,0.907014,0.421101,14,2015-03-07
1550,64,14,33.6,5161.0,375.0,293.0,-0.781831,0.62349,1.0,0.0,0.914128,0.405426,14,2015-03-08
1574,65,14,47.1,6321.0,409.0,46.0,0.0,1.0,1.0,0.0,0.920971,0.38963,14,2015-03-09
1598,66,14,49.92,6352.0,352.0,75.0,0.781831,0.62349,1.0,0.0,0.927542,0.37372,14,2015-03-10
1622,67,14,45.9,6138.0,343.0,38.0,0.974928,-0.222521,1.0,0.0,0.933837,0.357698,14,2015-03-11
1646,68,14,43.1,6194.0,335.0,547.0,0.433884,-0.900969,1.0,0.0,0.939856,0.341571,14,2015-03-12
1670,69,14,43.51,6236.0,338.0,1235.0,-0.433884,-0.900969,1.0,0.0,0.945596,0.325342,14,2015-03-13
1694,70,14,38.4,5382.0,299.0,700.0,-0.974928,-0.222521,1.0,0.0,0.951057,0.309017,14,2015-03-14
1718,71,14,43.1,4775.0,320.0,212.0,-0.781831,0.62349,1.0,0.0,0.956235,0.2926,14,2015-03-15
1742,72,14,55.73,6262.0,409.0,46.0,0.0,1.0,1.0,0.0,0.96113,0.276097,14,2015-03-16
1766,73,14,44.0,6786.0,352.0,75.0,0.781831,0.62349,1.0,0.0,0.96574,0.259512,14,2015-03-17
1790,74,14,48.43,6708.0,99.0,1397.0,0.974928,-0.222521,1.0,0.0,0.970064,0.24285,14,2015-03-18
1814,75,14,40.02,6756.0,85.0,2393.0,0.433884,-0.900969,1.0,0.0,0.9741,0.226116,14,2015-03-19
1838,76,14,41.5,6554.0,180.0,2435.0,-0.433884,-0.900969,1.0,0.0,0.977848,0.209315,14,2015-03-20
1862,77,14,43.69,5338.0,224.0,1860.0,-0.974928,-0.222521,1.0,0.0,0.981306,0.192452,14,2015-03-21
1886,78,14,45.35,5020.0,227.0,1718.0,-0.781831,0.62349,1.0,0.0,0.984474,0.175531,14,2015-03-22
1910,79,14,55.49,6147.0,253.0,1685.0,0.0,1.0,1.0,0.0,0.987349,0.158559,14,2015-03-23
1934,80,14,50.48,6229.0,152.0,3235.0,0.781831,0.62349,1.0,0.0,0.989932,0.14154,14,2015-03-24
1958,81,14,38.4,6445.0,240.0,2947.0,0.974928,-0.222521,1.0,0.0,0.992222,0.124479,14,2015-03-25
1982,82,14,46.67,6407.0,230.0,2351.0,0.433884,-0.900969,1.0,0.0,0.994218,0.107381,14,2015-03-26
2006,83,14,41.5,6426.0,358.0,676.0,-0.433884,-0.900969,1.0,0.0,0.995919,0.090252,14,2015-03-27
2030,84,14,46.67,5339.0,207.0,756.0,-0.974928,-0.222521,1.0,0.0,0.997325,0.073095,14,2015-03-28
2054,85,14,30.75,5151.0,227.0,1718.0,-0.781831,0.62349,1.0,0.0,0.998435,0.055917,14,2015-03-29
2078,86,14,46.5,6179.0,253.0,1685.0,0.0,1.0,1.0,0.0,0.99925,0.038722,14,2015-03-30
2102,87,14,45.0,6285.0,358.0,502.0,0.781831,0.62349,1.0,0.0,0.999769,0.021516,14,2015-03-31
2126,88,14,30.4,6323.0,360.0,991.0,0.974928,-0.222521,0.866025,-0.5,0.999991,0.004304,14,2015-04-01
2150,89,14,39.69,6178.0,363.0,783.0,0.433884,-0.900969,0.866025,-0.5,0.999917,-0.01291,14,2015-04-02
2174,90,14,40.12,5224.0,367.0,168.0,-0.433884,-0.900969,0.866025,-0.5,0.999546,-0.03012,14,2015-04-03
2198,91,14,28.0,5070.0,401.0,1446.0,-0.974928,-0.222521,0.866025,-0.5,0.99888,-0.047321,14,2015-04-04
2222,92,14,26.82,4503.0,440.0,760.0,-0.781831,0.62349,0.866025,-0.5,0.997917,-0.064508,14,2015-04-05
2246,93,14,37.69,5877.0,489.0,930.0,0.0,1.0,0.866025,-0.5,0.996659,-0.081676,14,2015-04-06
2270,94,14,45.1,6265.0,263.0,1699.0,0.781831,0.62349,0.866025,-0.5,0.995105,-0.09882,14,2015-04-07
2294,95,14,43.19,6215.0,111.0,2194.0,0.974928,-0.222521,0.866025,-0.5,0.993257,-0.115935,14,2015-04-08
2318,96,14,52.1,6123.0,239.0,1004.0,0.433884,-0.900969,0.866025,-0.5,0.991114,-0.133015,14,2015-04-09
2342,97,14,59.2,6096.0,71.0,246.0,-0.433884,-0.900969,0.866025,-0.5,0.988678,-0.150055,14,2015-04-10
2366,98,14,52.6,5204.0,176.0,230.0,-0.974928,-0.222521,0.866025,-0.5,0.985948,-0.167052,14,2015-04-11
2390,99,14,25.99,4769.0,192.0,1498.0,-0.781831,0.62349,0.866025,-0.5,0.982927,-0.183998,14,2015-04-12
2414,100,14,47.17,6050.0,211.0,2016.0,0.0,1.0,0.866025,-0.5,0.979614,-0.200891,14,2015-04-13
2438,101,14,44.01,6187.0,300.0,1527.0,0.781831,0.62349,0.866025,-0.5,0.976011,-0.217723,14,2015-04-14
2462,102,14,52.48,6084.0,338.0,351.0,0.974928,-0.222521,0.866025,-0.5,0.972118,-0.234491,14,2015-04-15
2486,103,14,50.06,6121.0,239.0,1004.0,0.433884,-0.900969,0.866025,-0.5,0.967938,-0.25119,14,2015-04-16
2510,104,14,57.56,6121.0,71.0,246.0,-0.433884,-0.900969,0.866025,-0.5,0.963471,-0.267814,14,2015-04-17
2534,105,14,39.75,4979.0,217.0,1923.0,-0.974928,-0.222521,0.866025,-0.5,0.958718,-0.284359,14,2015-04-18
