IDX__global,IDX__step,IDX__sub_step,TARG__EM_price,FUTU__EM_load_f,FUTU__EM_solar_f,FUTU__EM_wind_f,CONST__wd_sin,CONST__wd_cos,CONST__mnth_sin,CONST__mnth_cos,CONST__yd_sin,CONST__yd_cos,Hour,Date
11,0,11,59.51,5550.0,183.0,107.0,-0.974928,-0.222521,0.5,0.866025,0.05162,0.998667,11,2015-01-03
35,1,11,48.51,5225.0,182.0,285.0,-0.781831,0.62349,0.5,0.866025,0.068802,0.99763,11,2015-01-04
59,2,11,65.97,7201.0,178.0,145.0,0.0,1.0,0.5,0.866025,0.085965,0.996298,11,2015-01-05
83,3,11,59.69,7312.0,236.0,94.0,0.781831,0.62349,0.5,0.866025,0.103102,0.994671,11,2015-01-06
107,4,11,79.99,7360.0,201.0,206.0,0.974928,-0.222521,0.5,0.866025,0.120208,0.992749,11,2015-01-07
131,5,11,73.6,7538.0,165.0,116.0,0.433884,-0.900969,0.5,0.866025,0.137279,0.990532,11,2015-01-08
155,6,11,73.0,7538.0,117.0,540.0,-0.433884,-0.900969,0.5,0.866025,0.154309,0.988023,11,2015-01-09
179,7,11,66.2,5821.0,198.0,168.0,-0.974928,-0.222521,0.5,0.866025,0.171293,0.98522,11,2015-01-10
203,8,11,43.39,5492.0,196.0,565.0,-0.781831,0.62349,0.5,0.866025,0.188227,0.982126,11,2015-01-11
227,9,11,70.52,7533.0,190.0,671.0,0.0,1.0,0.5,0.866025,0.205104,0.97874,11,2015-01-12
251,10,11,66.49,7552.0,222.0,1657.0,0.781831,0.62349,0.5,0.866025,0.221922,0.975065,11,2015-01-13
275,11,11,77.15,7631.0,201.0,304.0,0.974928,-0.222521,0.5,0.866025,0.238673,0.9711,11,2015-01-14
299,12,11,62.01,7491.0,173.0,3554.0,0.433884,-0.900969,0.5,0.866025,0.255353,0.966848,11,2015-01-15
323,13,11,68.69,7179.0,126.0,1311.0,-0.433884,-0.900969,0.5,0.866025,0.271958,0.962309,11,2015-01-16
347,14,11,64.88,6092.0,198.0,168.0,-0.974928,-0.222521,0.5,0.866025,0.288482,0.957485,11,2015-01-17
371,15,11,53.98,5649.0,70.0,1025.0,-0.781831,0.62349,0.5,0.866025,0.304921,0.952378,11,2015-01-18
395,16,11,64.88,7667.0,59.0,2620.0,0.0,1.0,0.5,0.866025,0.32127,0.946988,11,2015-01-19
419,17,11,74.75,7548.0,67.0,1605.0,0.781831,0.62349,0.5,0.866025,0.337523,0.941317,11,2015-01-20
443,18,11,65.01,7494.0,246.0,2368.0,0.974928,-0.222521,0.5,0.866025,0.353676,0.935368,11,2015-01-21
467,19,11,61.45,7621.0,101.0,2468.0,0.433884,-0.900969,0.5,0.866025,0.369725,0.929141,11,2015-01-22
491,20,11,67.0,7500.0,132.0,466.0,-0.433884,-0.900969,0.5,0.866025,0.385663,0.92264,11,2015-01-23
515,21,11,57.59,6210.0,136.0,809.0,-0.974928,-0.222521,0.5,0.866025,0.401488,0.915864,11,2015-01-24
539,22,11,41.0,5615.0,114.0,825.0,-0.781831,0.62349,0.5,0.866025,0.417194,0.908818,11,2015-01-25
563,23,11,69.49,7392.0,137.0,509.0,0.0,1.0,0.5,0.866025,0.432776,0.901502,11,2015-01-26
